,Frame,x1,y1,x2,y2,Confidence,Vehicle
180,559,555.9,0.3,852.7,200.0,0.9,Car
181,559,113.4,0.0,663.1,720.0,0.5,Bus
182,560,558.2,1.0,862.5,204.1,1.0,Car
183,560,114.0,0.0,661.8,720.0,0.5,Bus
184,561,560.7,1.1,867.5,209.5,1.0,Car
185,561,113.5,0.0,662.6,720.0,0.5,Bus
186,562,566.3,1.4,871.6,212.4,1.0,Car
187,562,113.6,0.0,664.6,720.0,0.5,Bus
188,563,571.1,1.6,879.7,219.3,1.0,Car
189,563,109.7,0.0,670.4,720.0,0.5,Bus
190,564,579.4,1.8,884.0,222.3,1.0,Car
191,564,106.2,0.0,676.5,720.0,0.6,Bus
192,565,586.0,1.7,892.1,227.2,1.0,Car
193,565,108.4,0.0,675.8,720.0,0.5,Bus
194,566,592.5,1.6,897.1,232.8,1.0,Car
195,566,106.1,0.0,679.3,720.0,0.5,Bus
196,567,598.4,0.5,901.3,235.6,1.0,Car
197,567,104.4,0.0,679.6,720.0,0.5,Bus
198,568,604.3,0.3,909.2,239.2,1.0,Car
199,568,103.6,0.0,687.1,720.0,0.4,Bus
200,569,613.4,1.0,914.0,243.1,1.0,Car
201,569,101.4,0.0,692.5,720.0,0.5,Bus
202,570,618.5,0.7,922.8,247.8,1.0,Car
203,570,100.0,0.0,696.9,720.0,0.4,Bus
204,571,622.8,1.3,931.2,250.8,1.0,Car
205,571,95.4,0.1,700.9,720.0,0.3,Bus
206,572,627.9,1.3,936.9,254.1,1.0,Car
207,572,94.8,1.1,700.5,720.0,0.3,Bus
208,573,633.4,1.2,942.8,259.0,1.0,Car
209,573,96.1,0.4,703.6,720.0,0.3,Bus
210,574,641.9,1.2,943.7,259.9,1.0,Car
211,574,97.1,0.0,702.1,720.0,0.3,Bus
212,575,648.0,1.6,951.3,262.7,1.0,Car
213,575,99.4,0.0,698.1,720.0,0.3,Bus
214,576,655.9,0.3,958.1,268.8,1.0,Car
215,576,102.4,0.0,695.8,720.0,0.3,Bus
216,577,660.8,1.0,962.7,273.9,1.0,Car
217,577,107.4,0.0,698.7,720.0,0.4,Bus
218,578,667.4,4.1,969.2,271.8,1.0,Car
219,578,107.1,0.0,702.5,720.0,0.3,Bus
220,579,673.7,5.3,974.9,275.6,1.0,Car
221,579,104.0,0.0,706.0,720.0,0.4,Bus
222,580,680.2,8.3,980.3,277.0,1.0,Car
223,580,104.1,0.0,709.6,720.0,0.4,Bus
224,581,687.3,11.5,992.3,282.6,1.0,Car
225,581,104.0,0.0,703.5,720.0,0.3,Bus
226,582,692.1,17.2,997.7,287.8,1.0,Car
227,582,101.4,0.0,711.8,720.0,0.3,Bus
228,583,698.1,21.3,1002.9,290.5,1.0,Car
229,583,101.5,0.0,715.5,720.0,0.3,Bus
230,584,707.5,23.9,1004.6,288.6,1.0,Car
231,584,97.8,0.0,726.7,720.0,0.3,Bus
232,585,714.8,28.3,1009.9,291.1,1.0,Car
233,586,720.7,32.9,1017.0,290.8,1.0,Car
234,586,92.5,0.0,735.4,720.0,0.3,Bus
235,587,724.8,36.1,1022.3,293.2,1.0,Car
236,587,94.1,0.0,730.5,720.0,0.3,Bus
237,588,733.2,40.6,1027.8,294.7,1.0,Car
238,589,739.9,43.2,1034.8,296.0,1.0,Car
239,590,746.4,48.5,1039.6,296.8,0.9,Car
240,591,754.3,51.0,1043.8,296.5,1.0,Car
241,592,758.7,53.7,1050.3,297.0,1.0,Car
242,593,766.5,57.4,1055.9,296.8,1.0,Car
243,594,772.5,60.4,1060.7,295.9,1.0,Car
244,595,781.1,62.5,1065.8,295.1,1.0,Car
245,596,786.8,65.7,1069.5,294.5,1.0,Car
246,597,793.9,69.2,1074.2,294.3,1.0,Car
247,598,799.0,71.2,1079.8,293.8,1.0,Car
248,599,806.2,72.6,1085.2,294.9,1.0,Car
249,600,814.2,74.4,1088.2,293.3,1.0,Car
250,601,822.5,79.1,1094.4,293.3,1.0,Car
251,602,829.0,81.2,1096.7,294.0,1.0,Car
252,603,833.8,86.3,1101.4,291.3,1.0,Car
253,604,841.2,88.2,1105.0,289.1,1.0,Car
254,605,848.3,90.5,1111.1,289.4,1.0,Car
255,606,855.2,93.7,1112.8,290.8,1.0,Car
256,607,863.4,96.8,1120.6,289.3,1.0,Car
257,608,868.0,98.9,1124.3,287.0,1.0,Car
258,609,876.9,101.1,1126.9,284.6,1.0,Car
259,610,880.9,102.9,1130.7,282.1,1.0,Car
260,611,888.1,104.1,1133.7,281.9,1.0,Car
261,612,895.5,105.4,1134.7,281.4,1.0,Car
262,613,901.3,108.7,1138.8,279.8,1.0,Car
263,614,909.0,111.4,1146.6,276.4,1.0,Car
264,615,915.1,111.5,1150.9,275.8,1.0,Car
265,616,918.9,112.6,1153.1,273.7,1.0,Car
266,617,925.6,114.0,1155.1,271.4,1.0,Car
267,618,932.9,115.0,1159.3,269.4,1.0,Car
268,619,936.5,116.6,1163.0,266.6,1.0,Car
269,620,945.0,117.7,1165.6,265.0,1.0,Car
270,621,948.6,119.1,1169.4,263.7,1.0,Car
271,622,953.2,118.9,1171.5,263.5,1.0,Car
272,623,953.7,119.8,1177.8,262.1,1.0,Car
273,624,960.6,120.8,1180.5,261.1,1.0,Car
274,625,966.5,121.4,1182.9,261.6,1.0,Car
275,626,971.1,122.3,1185.2,261.1,1.0,Car
276,627,980.2,123.1,1189.3,259.5,1.0,Car
277,628,980.2,123.9,1191.2,258.8,1.0,Car
278,629,983.4,125.3,1193.7,256.6,1.0,Car
279,630,986.9,125.7,1197.0,255.8,1.0,Car
280,631,992.1,125.4,1199.8,254.4,1.0,Car
281,632,998.0,125.3,1202.4,251.9,1.0,Car
282,633,1001.9,123.4,1208.5,253.2,1.0,Car
283,634,1005.2,122.3,1211.2,253.9,0.9,Car
284,635,1010.9,121.4,1212.6,250.5,1.0,Car
285,636,1015.6,120.6,1215.8,250.2,1.0,Car
286,637,1018.7,116.3,1220.9,250.4,1.0,Car
287,638,1024.5,111.5,1224.8,246.6,1.0,Car
288,639,1029.8,108.3,1225.5,247.1,1.0,Car
289,640,1034.2,105.5,1227.6,246.9,1.0,Car
290,641,1040.4,102.0,1230.1,243.8,1.0,Car
291,642,1044.4,100.0,1231.5,243.3,1.0,Car
292,643,1048.7,96.9,1235.5,243.4,1.0,Car
293,644,1051.8,95.0,1237.8,242.7,0.9,Car
294,645,1056.2,92.5,1239.5,243.3,0.9,Car
295,646,1060.9,90.6,1241.8,243.1,0.8,Car
296,647,1064.9,88.2,1243.6,240.2,0.9,Car
297,648,1069.3,85.3,1244.7,236.6,0.9,Car
298,649,1072.9,82.7,1246.4,233.5,1.0,Car
299,650,1078.0,79.5,1249.2,232.2,1.0,Car
300,651,1081.8,75.6,1249.6,229.9,0.9,Car
301,652,1086.4,72.3,1251.7,228.8,0.9,Car
302,653,1090.6,69.3,1255.7,225.4,0.9,Car
303,654,1094.6,65.4,1257.9,225.5,0.9,Car
304,655,1097.2,63.8,1260.2,223.7,0.9,Car
305,656,1101.5,59.2,1260.8,221.5,0.9,Car
306,657,1103.1,58.7,1260.2,219.9,0.9,Car
307,658,1107.1,56.0,1264.3,217.8,0.9,Car
308,659,1109.7,49.9,1263.2,217.1,0.9,Car
309,660,1112.1,46.7,1264.5,213.8,0.9,Car
310,661,1116.3,43.0,1265.4,211.5,1.0,Car
311,662,1119.1,39.3,1265.7,208.9,1.0,Car
312,663,1122.6,33.4,1266.1,205.9,0.9,Car
313,664,1126.2,29.5,1266.6,204.1,0.9,Car
314,665,1128.0,25.5,1266.7,202.8,1.0,Car
315,666,1131.5,20.3,1266.6,199.0,0.9,Car
316,667,1134.2,15.3,1266.5,197.7,0.9,Car
317,668,1135.7,11.9,1267.3,194.3,0.9,Car
318,668,1134.6,9.3,1271.3,191.6,0.3,Bus
319,669,1137.6,9.1,1267.4,192.2,0.9,Car
320,670,1140.1,5.1,1267.7,190.3,0.9,Car
321,671,1142.2,2.3,1268.5,188.8,0.9,Car
322,672,1144.1,0.2,1269.0,180.9,0.9,Car
323,673,1146.5,0.7,1269.1,177.5,1.0,Car
324,674,1148.6,0.9,1269.4,173.6,1.0,Car
325,675,1150.6,1.2,1269.2,172.4,1.0,Car
326,676,1152.7,1.0,1269.2,169.5,1.0,Car
327,677,1154.8,0.8,1268.5,164.8,1.0,Car
328,678,1156.5,1.3,1268.3,162.5,1.0,Car
329,679,1158.5,1.6,1267.8,158.4,1.0,Car
330,680,1161.2,1.2,1268.6,155.7,0.9,Car
331,681,1162.7,1.1,1268.8,149.1,0.9,Car
332,682,1164.3,0.6,1270.1,145.5,0.9,Car
333,683,1165.2,1.0,1271.5,143.0,0.9,Car
334,684,1165.9,0.8,1273.3,140.3,0.9,Car
335,685,1167.2,0.9,1271.2,134.5,0.9,Car
336,686,1168.4,1.0,1271.9,133.0,0.9,Car
337,687,1170.6,1.0,1270.2,129.4,0.9,Car
338,688,1171.5,0.6,1271.1,126.2,0.9,Car
339,689,1173.6,0.0,1265.4,117.2,0.9,Car
340,690,1174.3,0.0,1263.7,114.2,1.0,Car
341,691,1175.0,0.0,1263.9,110.8,0.9,Car
342,692,1175.5,1.0,1264.6,107.5,0.9,Car
343,693,1176.9,1.1,1263.1,101.8,0.9,Car
344,694,1178.2,1.2,1261.5,98.0,0.9,Car
345,695,1178.3,1.1,1260.4,95.2,0.9,Car
346,696,1179.3,1.2,1260.8,92.1,0.9,Car
347,697,1180.4,1.1,1258.7,85.8,0.9,Car
348,698,1180.0,1.3,1257.6,80.1,0.9,Car
349,699,1179.6,1.4,1257.6,76.0,0.9,Car
350,700,1179.2,2.1,1257.7,74.2,0.9,Car
351,701,1179.8,0.3,1255.8,71.2,0.9,Car
352,702,1179.1,0.9,1255.6,66.6,0.9,Car
353,703,1178.3,0.8,1255.3,63.9,0.9,Car
354,704,1174.4,0.4,1256.9,61.7,0.8,Car
355,705,1175.3,0.0,1255.7,60.8,0.3,Car
356,750,121.3,0.0,693.6,719.7,0.4,Bus
357,751,121.7,0.0,694.0,719.6,0.4,Bus
358,752,122.6,0.0,692.2,719.7,0.4,Bus
359,753,123.2,0.0,691.7,719.6,0.4,Bus
360,754,121.3,0.0,691.8,720.0,0.4,Bus
361,755,121.2,0.0,692.1,719.9,0.4,Bus
362,756,122.1,0.0,691.3,719.7,0.4,Bus
363,757,126.9,0.0,689.5,719.7,0.4,Bus
364,758,126.7,0.0,688.1,719.7,0.4,Bus
365,759,129.0,0.0,687.5,719.8,0.4,Bus
366,760,131.5,0.0,687.2,719.9,0.4,Bus
367,761,127.8,0.0,689.3,719.9,0.4,Bus
368,762,126.1,0.0,689.3,720.0,0.4,Bus
369,763,126.1,0.0,688.5,720.0,0.4,Bus
370,764,128.6,0.0,687.9,720.0,0.4,Bus
371,765,127.9,0.0,689.9,720.0,0.4,Bus
372,766,125.9,0.0,689.8,720.0,0.4,Bus
373,767,127.4,0.0,689.4,720.0,0.4,Bus
374,768,127.5,0.0,689.1,720.0,0.4,Bus
375,769,127.6,0.0,689.2,720.0,0.4,Bus
376,770,127.5,0.0,688.9,720.0,0.4,Bus
377,771,127.6,0.0,688.7,720.0,0.4,Bus
378,772,127.2,0.0,688.1,720.0,0.4,Bus
379,773,126.3,0.0,690.9,720.0,0.4,Bus
380,774,125.6,0.0,691.1,720.0,0.4,Bus
381,775,125.9,0.0,691.8,720.0,0.4,Bus
382,776,125.5,0.0,691.8,720.0,0.4,Bus
383,777,124.1,0.0,692.1,720.0,0.4,Bus
384,778,125.9,0.0,693.5,720.0,0.4,Bus
385,779,127.6,0.0,691.9,720.0,0.4,Bus
386,780,127.2,0.0,692.1,720.0,0.4,Bus
387,781,127.7,0.0,691.7,720.0,0.4,Bus
388,782,127.9,0.0,692.2,720.0,0.5,Bus
389,783,128.3,0.0,691.9,720.0,0.5,Bus
390,784,127.9,0.0,692.0,720.0,0.5,Bus
391,785,127.5,0.0,692.1,720.0,0.5,Bus
392,786,126.5,0.0,692.5,720.0,0.5,Bus
393,787,126.0,0.0,692.9,720.0,0.5,Bus
394,788,125.5,0.0,693.3,720.0,0.5,Bus
395,789,124.7,0.0,692.5,720.0,0.4,Bus
396,790,128.2,0.0,692.0,720.0,0.4,Bus
397,791,126.4,0.0,692.7,720.0,0.4,Bus
398,792,126.2,0.0,693.0,720.0,0.4,Bus
399,793,125.0,0.0,692.0,720.0,0.4,Bus
400,794,123.8,0.0,693.3,720.0,0.4,Bus
401,795,123.6,0.0,693.3,720.0,0.4,Bus
402,796,121.6,0.0,693.3,720.0,0.4,Bus
403,797,123.7,0.0,694.2,720.0,0.4,Bus
404,798,123.6,0.0,694.2,720.0,0.4,Bus
405,799,123.9,0.0,694.0,720.0,0.4,Bus
406,920,438.3,0.0,573.3,43.7,0.5,Car
407,921,430.8,0.0,573.8,50.6,0.5,Car
408,922,430.5,0.0,569.7,58.3,0.6,Car
409,923,426.7,0.0,570.5,66.8,0.4,Car
410,924,425.3,0.0,570.4,73.8,0.6,Car
411,926,421.8,0.0,568.0,88.7,0.9,Car
412,927,416.9,0.0,568.3,95.9,0.9,Car
413,928,413.6,0.5,567.0,101.7,1.0,Car
414,929,410.5,0.5,566.0,110.7,1.0,Car
415,930,408.8,0.8,566.3,117.3,1.0,Car
416,931,405.9,1.7,565.8,125.0,1.0,Car
417,931,81.9,75.3,650.5,720.0,0.3,Bus
418,932,403.2,1.4,566.4,133.1,1.0,Car
419,933,397.2,1.5,568.6,142.2,0.9,Car
420,933,397.5,1.8,570.5,140.5,0.7,Bus
421,934,395.7,0.3,565.8,148.8,0.9,Car
422,934,395.9,1.8,569.9,148.7,0.3,Bus
423,935,392.8,0.0,566.0,157.2,1.0,Car
424,935,87.1,94.4,637.0,720.0,0.5,Bus
425,936,390.2,1.1,567.1,165.2,1.0,Car
426,936,86.7,91.2,635.4,720.0,0.5,Bus
427,937,387.1,1.6,567.8,175.0,1.0,Car
428,937,88.5,94.7,636.1,720.0,0.5,Bus
429,938,384.8,1.5,567.6,182.1,1.0,Car
430,938,91.6,100.8,632.0,720.0,0.6,Bus
431,939,379.3,1.3,566.7,189.6,1.0,Car
432,939,91.2,99.4,629.5,720.0,0.7,Bus
433,940,378.0,0.0,565.4,199.6,1.0,Car
434,940,90.9,97.5,629.3,720.0,0.7,Bus
435,941,374.9,0.0,566.2,210.1,1.0,Car
436,941,87.8,75.9,633.3,720.0,0.5,Bus
437,942,372.1,0.0,566.1,217.3,1.0,Car
438,942,87.2,61.3,636.3,720.0,0.5,Bus
439,943,366.8,0.0,568.1,224.6,1.0,Car
440,943,86.6,93.2,638.2,720.0,0.5,Bus
441,944,363.7,0.3,566.7,233.4,1.0,Car
442,944,86.0,70.6,637.8,720.0,0.5,Bus
443,945,359.5,0.8,565.3,241.9,1.0,Car
444,945,84.5,50.3,638.6,720.0,0.4,Bus
445,946,356.7,1.6,564.9,250.1,1.0,Car
446,946,83.4,40.4,640.2,720.0,0.4,Bus
447,947,351.5,1.8,562.9,258.0,1.0,Car
448,947,82.3,38.0,641.0,720.0,0.4,Bus
449,948,348.9,1.6,561.3,268.4,1.0,Car
450,948,79.8,38.9,644.1,720.0,0.5,Bus
451,949,347.4,0.0,558.4,276.3,1.0,Car
452,949,78.8,31.7,645.9,720.0,0.3,Bus
453,950,345.4,0.0,555.5,285.2,1.0,Car
454,951,341.3,0.0,552.1,293.3,1.0,Car
455,952,337.5,0.0,549.6,302.7,1.0,Car
456,953,332.7,0.3,546.8,311.2,1.0,Car
457,954,331.2,1.2,544.9,318.1,1.0,Car
458,955,328.7,5.2,542.9,327.3,1.0,Car
459,956,324.8,9.4,537.7,335.7,1.0,Car
460,957,319.1,15.3,536.2,343.5,1.0,Car
461,958,314.4,22.8,532.1,350.7,1.0,Car
462,959,311.9,31.3,528.8,360.6,1.0,Car
463,960,309.3,39.9,526.3,365.7,1.0,Car
464,961,303.5,45.5,522.4,375.1,1.0,Car
465,962,299.9,51.3,517.9,381.6,1.0,Car
466,963,297.8,59.6,514.3,391.7,1.0,Car
467,964,295.2,68.8,513.2,397.4,1.0,Car
468,965,289.7,74.4,509.1,405.1,1.0,Car
469,966,284.6,80.4,505.6,412.1,1.0,Car
470,967,281.2,88.2,501.8,420.6,1.0,Car
471,968,277.0,95.9,497.9,429.2,1.0,Car
472,969,273.3,106.7,494.1,433.6,0.9,Car
473,970,267.9,116.2,492.5,441.7,1.0,Car
474,971,264.3,120.7,487.7,449.9,1.0,Car
475,972,259.9,129.2,485.8,454.1,1.0,Car
476,973,255.3,137.7,481.2,462.8,1.0,Car
477,974,249.5,146.1,477.4,470.7,1.0,Car
478,975,246.6,156.2,473.7,474.5,1.0,Car
479,976,242.1,163.7,468.1,480.9,1.0,Car
480,977,236.4,173.3,465.2,485.6,0.9,Car
481,978,234.1,174.8,457.9,493.3,1.0,Car
482,979,229.8,184.4,455.7,498.8,1.0,Car
483,980,225.7,194.4,451.7,502.8,1.0,Car
484,981,218.2,200.0,447.5,505.3,1.0,Car
485,982,215.2,207.9,442.6,511.4,1.0,Car
486,983,210.8,212.7,438.4,514.8,1.0,Car
487,984,206.6,218.8,432.7,516.9,1.0,Car
488,985,202.5,225.7,427.7,524.7,1.0,Car
489,986,198.1,233.4,424.1,531.3,1.0,Car
490,987,195.0,238.7,420.5,533.6,1.0,Car
491,988,187.5,246.9,414.4,539.7,1.0,Car
492,989,185.0,250.7,409.9,541.6,1.0,Car
493,990,180.1,253.7,402.6,544.2,1.0,Car
494,991,173.8,262.7,398.3,546.2,1.0,Car
495,992,167.1,270.6,395.0,549.7,1.0,Car
496,993,165.0,273.8,390.7,555.2,1.0,Car
497,994,158.6,281.0,385.7,555.7,1.0,Car
498,995,156.6,287.4,380.5,558.9,1.0,Car
499,996,153.6,292.4,375.4,562.7,0.9,Car
500,997,140.5,297.0,368.2,561.8,0.8,Car
